X,Y,R,G,B
0,216,58,16,0
0,217,55,13,0
0,218,52,10,0
0,219,49,8,0
0,220,49,8,0
0,221,49,11,0
0,222,52,14,0
0,223,54,16,0
0,224,52,14,5
0,225,51,13,4
0,226,50,12,3
0,227,51,14,5
0,228,54,17,8
0,229,54,17,8
0,230,52,15,6
0,231,47,13,3
0,232,47,13,3
0,233,47,13,3
0,234,47,15,4
0,235,47,15,4
0,236,48,16,5
0,237,49,17,6
0,238,49,17,6
0,239,50,18,7
0,240,47,17,9
0,241,47,17,9
0,242,47,17,9
0,243,48,18,10
1,0,255,255,255
1,1,255,255,255
1,2,255,255,255
1,3,255,255,255
1,4,255,255,255
1,5,255,255,255
1,6,255,255,255
1,7,255,255,255
1,8,254,254,254
1,9,254,254,254
1,10,254,254,254
1,11,253,253,253
1,12,253,253,253
1,13,253,253,253
1,14,252,252,252
1,15,252,252,252
1,16,251,253,252
1,17,251,253,252
1,18,250,252,251
1,19,250,252,251
1,20,249,251,250
1,21,248,250,249
1,22,247,248,250
1,23,247,248,250
1,24,245,246,248
1,25,245,246,250
1,26,244,245,249
1,27,243,244,248
1,28,241,242,246
1,29,240,241,246
1,30,239,240,245
1,31,239,240,245
1,32,235,239,242
1,33,235,239,242
1,34,234,237,242
1,35,233,236,241
1,36,231,234,239
1,37,229,234,240
1,38,228,233,239
1,39,228,232,241
1,40,225,232,240
1,41,225,232,242
1,42,224,231,241
1,43,223,229,241
1,44,220,228,239
1,45,219,227,238
1,46,218,226,237
1,47,218,226,239
1,48,213,226,235
1,49,212,225,234
1,50,211,224,233
1,51,210,223,231
1,52,210,220,229
1,53,209,219,228
1,54,208,219,225
1,55,208,217,224
1,56,209,218,223
1,57,213,222,227
1,58,213,223,225
1,59,204,212,215
1,60,198,206,208
1,61,207,215,217
1,62,206,214,216
1,63,190,198,200
1,64,193,211,199
1,65,200,218,206
1,66,152,168,157
1,67,73,86,77
1,68,41,54,45
1,69,52,63,57
1,70,54,63,60
1,71,41,50,49
1,72,72,80,82
1,73,54,62,64
1,74,204,214,216
1,75,173,184,188
1,76,210,221,225
1,77,192,205,211
1,78,190,205,210
1,79,194,209,214
1,80,195,205,214
1,81,195,205,214
1,82,195,205,214
1,83,194,204,213
1,84,194,204,213
1,85,193,203,212
1,86,193,203,212
1,87,194,203,212
1,88,193,202,211
1,89,193,202,211
1,90,193,202,211
1,91,193,202,211
1,92,193,202,211
1,93,194,201,211
1,94,194,201,211
1,95,194,201,211
1,96,194,205,211
1,97,194,205,211
1,98,194,205,211
1,99,193,204,210
1,100,193,204,210
1,101,192,203,209
1,102,192,203,209
1,103,192,203,209
1,104,194,205,211
1,105,194,205,211
1,106,194,205,211
1,107,194,205,211
1,108,194,205,211
1,109,194,205,211
1,110,194,205,211
1,111,194,205,211
1,112,193,204,210
1,113,193,204,210
1,114,193,204,210
1,115,193,204,210
1,116,193,204,210
1,117,193,204,210
1,118,193,204,210
1,119,193,204,210
1,120,193,204,210
1,121,193,204,210
1,122,193,204,210
1,123,193,204,210
1,124,193,204,210
1,125,193,204,210
1,126,193,204,210
1,127,193,204,210
1,128,196,204,207
1,129,196,204,207
1,130,196,204,207
1,131,196,204,207
1,132,196,204,207
1,133,196,204,207
1,134,196,204,207
1,135,196,204,207
1,136,197,205,208
1,137,197,205,208
1,138,197,205,208
1,139,196,204,207
1,140,196,204,207
1,141,196,204,207
1,142,195,203,206
1,143,195,203,206
1,144,198,201,208
1,145,193,196,203
1,146,197,202,208
1,147,192,197,203
1,148,236,241,245
1,149,217,222,226
1,150,188,193,196
1,151,193,197,198
1,152,196,196,194
1,153,192,187,183
1,154,141,130,124
1,155,87,70,62
1,156,72,50,39
1,157,62,35,24
1,158,52,23,9
1,159,64,32,19
1,160,48,18,7
1,161,68,34,22
1,162,76,36,24
1,163,73,25,13
1,164,73,19,7
1,165,80,21,7
1,166,82,23,7
1,167,84,26,6
1,168,79,23,0
1,169,77,25,1
1,170,78,26,2
1,171,80,26,2
1,172,82,24,2
1,173,85,23,2
1,174,90,23,4
1,175,93,25,6
1,176,85,28,1
1,177,87,30,3
1,178,87,27,3
1,179,87,27,3
1,180,90,30,6
1,181,89,27,4
1,182,87,25,4
1,183,91,30,9
1,184,88,27,6
1,185,91,33,11
1,186,88,31,11
1,187,71,19,0
1,188,70,20,0
1,189,92,44,21
1,190,104,58,35
1,191,92,46,23
1,192,91,38,6
1,193,72,21,0
1,194,65,18,0
1,195,69,27,5
1,196,68,30,11
1,197,65,28,10
1,198,68,30,11
1,199,70,29,9
1,200,74,29,6
1,201,78,30,7
1,202,84,37,11
1,203,87,39,16
1,204,77,32,11
1,205,60,21,4
1,206,56,20,8
1,207,58,26,15
1,208,64,17,7
1,209,64,17,7
1,210,63,19,8
1,211,63,19,8
1,212,62,18,5
1,213,60,16,3
1,214,59,15,2
1,215,57,13,0
1,216,58,16,0
1,217,57,15,0
1,218,56,14,0
1,219,55,14,0
1,220,54,13,0
1,221,53,12,0
1,222,52,14,0
1,223,52,14,0
1,224,51,13,2
1,225,50,12,1
1,226,49,11,0
1,227,50,12,1
1,228,51,15,3
1,229,51,15,3
1,230,49,13,1
1,231,44,10,0
1,232,48,14,2
1,233,48,14,2
1,234,48,14,2
1,235,48,16,3
1,236,48,16,3
1,237,49,17,4
1,238,49,17,4
1,239,50,18,5
1,240,45,15,7
1,241,45,15,7
1,242,45,15,7
1,243,46,16,8
2,0,255,255,255
2,1,255,255,255
2,2,255,255,255
2,3,255,255,255
2,4,255,255,255
2,5,255,255,255
2,6,255,255,255
2,7,255,255,255
2,8,254,254,254
2,9,254,254,254
2,10,254,254,254
2,11,254,254,254
2,12,253,253,253
2,13,253,253,253
2,14,253,253,253
2,15,252,252,252
2,16,252,254,253
2,17,251,253,252
2,18,251,253,252
2,19,250,252,251
2,20,249,251,250
2,21,248,250,249
2,22,248,249,251
2,23,247,248,250
2,24,246,247,249
2,25,245,246,250
2,26,244,245,249
2,27,243,244,248
2,28,242,243,247
2,29,241,242,247
2,30,240,241,246
2,31,239,240,245
2,32,236,240,243
2,33,235,239,242
2,34,234,237,242
2,35,233,236,241
2,36,232,235,240
2,37,230,235,241
2,38,229,234,240
2,39,228,232,241
2,40,225,232,240
2,41,225,232,240
2,42,224,231,241
2,43,223,230,240
2,44,220,228,239
2,45,219,227,238
2,46,218,226,237
2,47,218,226,237
2,48,211,224,232
2,49,211,224,232
2,50,212,222,231
2,51,211,221,230
2,52,211,222,228
2,53,210,221,227
2,54,209,220,224
2,55,210,219,224
2,56,211,221,223
2,57,204,214,216
2,58,205,213,216
2,59,209,217,219
2,60,209,217,219
2,61,210,218,220
2,62,208,217,216
2,63,202,208,208
2,64,183,199,188
2,65,149,165,154
2,66,92,105,96
2,67,45,58,49
2,68,39,50,44
2,69,49,58,53
2,70,56,62,60
2,71,58,64,64
2,72,60,65,68
2,73,41,46,49
2,74,90,98,101
2,75,196,205,210
2,76,185,196,200
2,77,210,221,227
2,78,181,194,200
2,79,198,211,217
2,80,193,206,214
2,81,193,206,214
2,82,192,205,213
2,83,192,205,213
2,84,194,204,213
2,85,194,204,213
2,86,193,203,212
2,87,193,203,212
2,88,192,202,211
2,89,192,202,211
2,90,193,202,211
2,91,193,202,211
2,92,193,202,211
2,93,193,202,211
2,94,193,202,211
2,95,193,202,211
2,96,194,205,211
2,97,194,205,211
2,98,193,204,210
2,99,193,204,210
2,100,193,204,210
2,101,193,204,210
2,102,192,203,209
2,103,192,203,209
2,104,194,205,211
2,105,194,205,211
2,106,194,205,211
2,107,194,205,211
2,108,194,205,211
2,109,194,205,211
2,110,194,205,211
2,111,194,205,211
2,112,193,204,210
2,113,193,204,210
2,114,193,204,210
2,115,193,204,210
2,116,193,204,210
2,117,193,204,210
2,118,193,204,210
2,119,193,204,210
2,120,194,205,211
2,121,194,205,211
2,122,194,205,211
2,123,194,205,211
2,124,194,205,211
2,125,194,205,211
2,126,194,205,211
2,127,194,205,211
2,128,196,204,207
2,129,196,204,207
2,130,196,204,207
2,131,196,204,207
2,132,196,204,207
2,133,196,204,207
2,134,196,204,207
2,135,196,204,207
2,136,197,205,208
2,137,197,205,208
2,138,197,205,208
2,139,197,205,208
2,140,196,204,207
2,141,196,204,207
2,142,196,204,207
2,143,195,203,206
2,144,198,201,208
2,145,194,197,204
2,146,198,203,209
2,147,192,197,203
2,148,237,242,246
2,149,220,225,229
2,150,190,195,198
2,151,193,197,198
2,152,197,197,195
2,153,195,190,186
2,154,144,133,127
2,155,91,74,66
2,156,74,52,41
2,157,63,36,25
2,158,54,25,11
2,159,66,34,21
2,160,49,19,8
2,161,67,33,21
2,162,77,37,25
2,163,74,26,14
2,164,72,18,6
2,165,80,21,7
2,166,84,25,9
2,167,83,25,5
2,168,79,23,0
2,169,78,26,2
2,170,80,28,4
2,171,82,28,4
2,172,84,26,4
2,173,87,25,4
2,174,91,24,5
2,175,93,25,6
2,176,86,29,2
2,177,89,32,5
2,178,89,29,3
2,179,88,28,4
2,180,93,31,8
2,181,92,30,7
2,182,90,28,5
2,183,94,32,11
2,184,89,28,7
2,185,91,33,11
2,186,89,32,12
2,187,75,20,0
2,188,70,20,0
2,189,93,45,22
2,190,107,61,37
2,191,94,48,24
2,192,96,41,10
2,193,75,24,0
2,194,67,20,0
2,195,69,27,5
2,196,66,28,9
2,197,62,25,7
2,198,64,26,7
2,199,66,25,5
2,200,70,25,2
2,201,73,25,2
2,202,79,32,6
2,203,83,35,12
2,204,76,31,10
2,205,62,23,6
2,206,56,22,10
2,207,61,29,18
2,208,63,19,8
2,209,63,19,8
2,210,64,20,9
2,211,65,21,10
2,212,65,21,8
2,213,64,20,7
2,214,64,20,7
2,215,63,19,6
2,216,59,17,1
2,217,60,18,2
2,218,60,18,2
2,219,61,20,2
2,220,59,18,0
2,221,57,16,0
2,222,55,14,0
2,223,54,13,0
2,224,52,14,3
2,225,51,13,2
2,226,50,12,1
2,227,51,13,2
2,228,52,14,3
2,229,50,14,2
2,230,47,11,0
2,231,45,9,0
2,232,46,12,0
2,233,46,12,0
2,234,46,12,0
2,235,47,13,1
2,236,46,14,1
2,237,46,14,1
2,238,46,14,1
2,239,46,14,1
2,240,44,14,4
2,241,44,14,4
2,242,45,15,5
2,243,45,15,5
3,0,255,255,255
3,1,255,255,255
3,2,255,255,255
3,3,255,255,255
3,4,255,255,255
3,5,255,255,255
3,6,255,255,255
3,7,255,255,255
3,8,255,255,255
3,9,255,255,255
3,10,254,254,254
3,11,254,254,254
3,12,254,254,254
3,13,253,253,253
3,14,253,253,253
3,15,253,253,253
3,16,252,254,253
3,17,252,254,253
3,18,251,253,252
3,19,250,252,251
3,20,249,251,250
3,21,249,251,250
3,22,248,249,251
3,23,248,249,251
3,24,246,247,249
3,25,245,246,250
3,26,245,246,250
3,27,243,244,248
3,28,242,243,247
3,29,241,242,247
3,30,240,241,246
3,31,240,241,246
3,32,236,240,243
3,33,235,238,243
3,34,235,238,243
3,35,233,236,241
3,36,232,235,240
3,37,230,235,241
3,38,229,234,240
3,39,229,234,240
3,40,225,232,240
3,41,225,232,240
3,42,224,231,241
3,43,223,230,240
3,44,220,229,238
3,45,219,228,237
3,46,218,226,237
3,47,218,226,237
3,48,213,224,230
3,49,212,223,229
3,50,212,223,229
3,51,211,222,226
3,52,211,222,226
3,53,211,220,225
3,54,211,221,223
3,55,210,220,222
3,56,208,218,220
3,57,207,215,217
3,58,209,217,219
3,59,206,215,214
3,60,201,207,207
3,61,200,206,206
3,62,204,210,210
3,63,202,208,208
3,64,108,121,111
3,65,62,75,66
3,66,38,49,41
3,67,56,66,58
3,68,66,75,70
3,69,48,54,50
3,70,40,44,43
3,71,55,59,60
3,72,42,46,47
3,73,69,73,76
3,74,33,38,42
3,75,135,143,146
3,76,198,205,211
3,77,186,195,200
3,78,202,213,219
3,79,190,201,207
3,80,192,205,213
3,81,192,205,213
3,82,192,205,213
3,83,192,205,213
3,84,192,205,213
3,85,192,205,213
3,86,192,205,213
3,87,194,204,213
3,88,192,202,211
3,89,192,202,211
3,90,192,202,211
3,91,192,202,211
3,92,192,202,211
3,93,192,202,211
3,94,192,202,211
3,95,192,202,211
3,96,193,204,210
3,97,193,204,210
3,98,193,204,210
3,99,193,204,210
3,100,193,204,210
3,101,193,204,210
3,102,193,204,210
3,103,193,204,210
3,104,194,205,211
3,105,194,205,211
3,106,194,205,211
3,107,194,205,211
3,108,194,205,211
3,109,194,205,211
3,110,194,205,211
3,111,194,205,211
3,112,194,205,211
3,113,194,205,211
3,114,194,205,211
3,115,194,205,211
3,116,194,205,211
3,117,194,205,211
3,118,194,205,211
3,119,194,205,211
3,120,195,206,212
3,121,195,206,212
3,122,195,206,212
3,123,195,206,212
3,124,195,206,212
3,125,195,206,212
3,126,195,206,212
3,127,195,206,212
3,128,197,205,208
3,129,197,205,208
3,130,197,205,208
3,131,197,205,208
3,132,197,205,208
3,133,197,205,208
3,134,197,205,208
3,135,197,205,208
3,136,198,206,209
3,137,198,206,209
3,138,197,205,208
3,139,197,205,208
3,140,197,205,208
3,141,196,204,207
3,142,196,204,207
3,143,196,204,207
3,144,199,202,209
3,145,195,198,205
3,146,199,204,210
3,147,191,196,202
3,148,238,243,247
3,149,223,228,232
3,150,192,197,200
3,151,194,198,199
3,152,197,197,195
3,153,196,191,187
3,154,147,136,130
3,155,93,76,68
3,156,75,53,42
3,157,62,35,24
3,158,54,25,11
3,159,67,35,22
3,160,51,21,10
3,161,66,32,20
3,162,77,37,25
3,163,76,28,16
3,164,71,17,5
3,165,80,21,7
3,166,86,27,11
3,167,83,25,5
3,168,78,22,0
3,169,78,26,2
3,170,81,29,5
3,171,84,30,6
3,172,85,27,5
3,173,87,25,4
3,174,91,24,5
3,175,92,24,5
3,176,85,28,1
3,177,92,32,6
3,178,90,30,4
3,179,88,28,4
3,180,93,31,8
3,181,94,32,9
3,182,92,30,7
3,183,94,32,11
3,184,90,29,8
3,185,90,32,10
3,186,91,35,12
3,187,78,23,2
3,188,69,19,0
3,189,93,45,22
3,190,111,65,41
3,191,97,51,27
3,192,99,44,13
3,193,80,27,0
3,194,68,21,0
3,195,72,27,6
3,196,67,29,10
3,197,64,25,8
3,198,65,27,8
3,199,68,25,6
3,200,70,25,2
3,201,72,24,1
3,202,77,30,4
3,203,81,33,10
3,204,73,31,9
3,205,61,22,5
3,206,56,22,10
3,207,60,28,17
3,208,63,19,8
3,209,63,19,8
3,210,64,20,9
3,211,65,21,10
3,212,66,22,9
3,213,66,22,9
3,214,67,23,10
3,215,67,23,10
3,216,61,19,3
3,217,62,20,4
3,218,62,20,4
3,219,63,22,4
3,220,62,21,3
3,221,61,20,2
3,222,60,19,1
3,223,59,18,0
3,224,57,17,7
3,225,56,18,7
3,226,56,18,7
3,227,55,17,6
3,228,55,17,6
3,229,53,15,4
3,230,50,14,2
3,231,49,13,1
3,232,47,11,0
3,233,45,11,0
3,234,45,11,0
3,235,45,11,0
3,236,44,10,0
3,237,44,10,0
3,238,43,11,0
3,239,43,11,0
3,240,46,13,4
3,241,47,14,5
3,242,47,14,5
3,243,47,14,5
4,0,255,255,255
4,1,255,255,255
4,2,255,255,255
4,3,255,255,255
4,4,255,255,255
4,5,255,255,255
4,6,255,255,255
4,7,255,255,255
4,8,255,255,255
4,9,255,255,255
4,10,255,255,255
4,11,254,254,254
4,12,254,254,254
4,13,254,254,254
4,14,253,253,253
4,15,253,253,253
4,16,252,254,253
4,17,252,254,253
4,18,251,253,252
4,19,251,253,252
4,20,250,252,251
4,21,249,251,250
4,22,248,249,251
4,23,248,249,251
4,24,246,247,249
4,25,246,247,251
4,26,245,246,250
4,27,244,245,249
4,28,243,244,248
4,29,241,242,247
4,30,241,242,247
4,31,240,241,246
4,32,236,239,244
4,33,236,239,244
4,34,235,238,243
4,35,234,237,242
4,36,233,236,241
4,37,230,235,241
4,38,230,235,241
4,39,229,234,240
4,40,225,232,240
4,41,225,232,240
4,42,224,231,239
4,43,223,230,238
4,44,220,229,238
4,45,219,228,237
4,46,218,227,236
4,47,218,227,236
4,48,213,224,226
4,49,212,223,225
4,50,212,223,225
4,51,212,222,224
4,52,212,222,224
4,53,211,221,223
4,54,211,221,222
4,55,211,219,221
4,56,209,217,219
4,57,216,225,224
4,58,209,218,217
4,59,196,202,202
4,60,201,207,205
4,61,205,211,209
4,62,151,157,155
4,63,72,78,76
4,64,39,50,42
4,65,41,51,43
4,66,38,48,40
4,67,38,44,40
4,68,48,53,49
4,69,61,65,64
4,70,61,63,62
4,71,47,48,50
4,72,50,51,53
4,73,58,59,63
4,74,67,70,75
4,75,49,52,57
4,76,165,170,176
4,77,192,199,205
4,78,200,207,213
4,79,193,202,207
4,80,192,205,213
4,81,192,205,213
4,82,192,205,213
4,83,192,205,213
4,84,192,205,213
4,85,192,205,213
4,86,192,205,213
4,87,192,205,213
4,88,190,203,211
4,89,190,203,211
4,90,190,203,211
4,91,190,203,211
4,92,190,203,211
4,93,190,203,211
4,94,190,203,211
4,95,190,203,211
4,96,193,204,210
4,97,193,204,210
4,98,193,204,210
4,99,193,204,210
4,100,193,204,210
4,101,193,204,210
4,102,193,204,210
4,103,193,204,210
4,104,194,205,211
4,105,194,205,211
4,106,194,205,211
4,107,194,205,211
4,108,194,205,211
4,109,194,205,211
4,110,194,205,211
4,111,194,205,211
4,112,194,205,211
4,113,194,205,211
4,114,194,205,211
4,115,194,205,211
4,116,194,205,211
4,117,194,205,211
4,118,194,205,211
4,119,194,205,211
4,120,195,206,212
4,121,195,206,212
4,122,195,206,212
4,123,195,206,212
4,124,195,206,212
4,125,195,206,212
4,126,195,206,212
4,127,195,206,212
4,128,197,205,208
4,129,197,205,208
4,130,197,205,208
4,131,197,205,208
4,132,197,205,208
4,133,197,205,208
4,134,197,205,208
4,135,197,205,208
4,136,198,206,209
4,137,198,206,209
4,138,198,206,209
4,139,197,205,208
4,140,197,205,208
4,141,197,205,208
4,142,196,204,207
4,143,196,204,207
4,144,199,202,209
4,145,196,199,206
4,146,200,205,211
4,147,191,196,202
4,148,239,244,248
4,149,226,231,235
4,150,195,200,203
4,151,194,198,199
4,152,196,196,194
4,153,197,192,188
4,154,150,139,133
4,155,95,78,70
4,156,75,53,42
4,157,60,33,22
4,158,53,24,10
4,159,67,35,22
4,160,52,22,11
4,161,65,31,19
4,162,78,38,26
4,163,78,30,18
4,164,70,16,4
4,165,80,21,7
4,166,88,29,13
4,167,82,24,4
4,168,78,22,0
4,169,78,26,2
4,170,81,29,5
4,171,84,30,6
4,172,85,27,5
4,173,87,25,4
4,174,91,24,5
4,175,92,24,5
4,176,84,24,0
4,177,91,31,5
4,178,89,29,3
4,179,86,24,0
4,180,91,29,6
4,181,93,31,8
4,182,92,30,7
4,183,92,30,7
4,184,91,30,9
4,185,88,30,8
4,186,92,36,13
4,187,79,24,3
4,188,68,16,0
4,189,93,45,22
4,190,115,67,44
4,191,99,53,29
4,192,102,45,15
4,193,81,28,0
4,194,72,22,0
4,195,73,28,7
4,196,71,30,12
4,197,67,28,11
4,198,69,31,12
4,199,72,29,10
4,200,74,28,5
4,201,75,27,4
4,202,80,30,5
4,203,82,34,11
4,204,74,32,10
4,205,61,22,5
4,206,53,19,7
4,207,55,23,12
4,208,61,17,6
4,209,62,18,7
4,210,62,18,7
4,211,63,19,8
4,212,65,21,8
4,213,66,22,9
4,214,67,23,10
4,215,68,24,11
4,216,63,21,5
4,217,63,21,5
4,218,62,20,4
4,219,62,21,3
4,220,63,22,4
4,221,64,23,5
4,222,66,25,7
4,223,67,26,8
4,224,62,22,10
4,225,63,23,11
4,226,63,23,11
4,227,63,23,11
4,228,60,22,9
4,229,59,21,8
4,230,57,19,6
4,231,57,19,6
4,232,52,16,2
4,233,51,15,1
4,234,51,15,1
4,235,48,15,0
4,236,48,15,0
4,237,47,14,0
4,238,47,14,0
4,239,46,13,0
4,240,44,11,2
4,241,44,11,2
4,242,44,11,2
4,243,44,11,2
5,0,255,255,255
5,1,255,255,255
5,2,255,255,255
5,3,255,255,255
5,4,255,255,255
5,5,255,255,255
5,6,255,255,255
5,7,255,255,255
5,8,255,255,255
5,9,255,255,255
5,10,255,255,255
5,11,255,255,255
5,12,254,254,254
5,13,254,254,254
5,14,254,254,254
5,15,254,254,254
5,16,253,255,254
5,17,252,254,253
5,18,252,254,253
5,19,251,253,252
5,20,250,252,251
5,21,249,251,250
5,22,249,250,252
5,23,248,249,251
5,24,247,248,250
5,25,246,247,251
5,26,245,246,250
5,27,244,245,249
5,28,243,244,248
5,29,242,243,248
5,30,241,242,247
5,31,240,241,246
5,32,237,240,245
5,33,236,239,244
5,34,235,238,243
5,35,234,237,242
5,36,233,236,241
5,37,231,236,242
5,38,230,235,241
5,39,229,234,240
5,40,225,232,238
5,41,225,232,238
5,42,224,231,239
5,43,223,230,238
5,44,220,229,236
5,45,219,228,235
5,46,218,227,234
5,47,218,227,234
5,48,214,224,225
5,49,214,224,225
5,50,213,223,224
5,51,212,222,223
5,52,212,222,223
5,53,212,221,220
5,54,211,220,219
5,55,211,220,219
5,56,221,230,229
5,57,201,207,205
5,58,201,207,205
5,59,198,204,202
5,60,142,148,146
5,61,68,72,71
5,62,44,49,45
5,63,61,66,62
5,64,42,52,44
5,65,54,61,54
5,66,59,65,61
5,67,50,55,51
5,68,48,50,47
5,69,66,66,66
5,70,74,74,74
5,71,63,61,64
5,72,54,52,55
5,73,62,61,66
5,74,66,65,70
5,75,54,55,60
5,76,75,78,83
5,77,191,196,202
5,78,194,199,205
5,79,196,203,209
5,80,191,204,210
5,81,191,204,210
5,82,192,205,211
5,83,192,205,211
5,84,192,205,211
5,85,192,205,211
5,86,193,206,212
5,87,192,207,212
5,88,189,204,209
5,89,189,204,209
5,90,189,204,209
5,91,189,204,209
5,92,189,204,209
5,93,189,204,209
5,94,189,204,209
5,95,189,204,209
5,96,192,203,209
5,97,192,203,209
5,98,193,204,210
5,99,193,204,210
5,100,193,204,210
5,101,193,204,210
5,102,194,205,211
5,103,194,205,211
5,104,194,205,211
5,105,194,205,211
5,106,194,205,211
5,107,194,205,211
5,108,194,205,211
5,109,194,205,211
5,110,194,205,211
5,111,194,205,211
5,112,195,206,212
5,113,195,206,212
5,114,195,206,212
5,115,195,206,212
5,116,195,206,212
5,117,195,206,212
5,118,195,206,212
5,119,195,206,212
5,120,196,207,213
5,121,196,207,213
5,122,196,207,213
5,123,196,207,213
5,124,196,207,213
5,125,196,207,213
5,126,196,207,213
5,127,196,207,213
5,128,198,206,209
5,129,198,206,209
5,130,198,206,209
5,131,198,206,209
5,132,198,206,209
5,133,198,206,209
5,134,198,206,209
5,135,198,206,209
5,136,199,207,210
5,137,198,206,209
5,138,198,206,209
5,139,198,206,209
5,140,197,205,208
5,141,197,205,208
5,142,197,205,208
5,143,197,205,208
5,144,200,203,210
5,145,198,201,208
5,146,200,205,211
5,147,191,196,202
5,148,240,245,249
5,149,229,234,238
5,150,197,202,205
5,151,194,198,199
5,152,195,195,193
5,153,198,193,189
5,154,153,142,136
5,155,98,81,73
5,156,75,53,42
5,157,60,33,22
5,158,53,24,10
5,159,69,37,24
5,160,53,23,12
5,161,63,29,17
5,162,79,39,27
5,163,79,31,19
5,164,69,15,3
5,165,80,21,7
5,166,90,31,15
5,167,82,24,4
5,168,79,23,0
5,169,78,26,2
5,170,80,28,4
5,171,82,28,4
5,172,84,26,4
5,173,87,25,4
5,174,91,24,5
5,175,93,25,6
5,176,82,22,0
